Image1,Image2,Similarity
ISIC_1510820.jpg,ISIC_1539596.jpg,0.649649977684021
ISIC_1510820.jpg,ISIC_1541719.jpg,0.881115734577179
ISIC_1510820.jpg,ISIC_1541919.jpg,0.7334553599357605
ISIC_1510820.jpg,ISIC_1542403.jpg,0.775873601436615
ISIC_1510820.jpg,ISIC_1543649.jpg,0.7860082387924194
ISIC_1510820.jpg,ISIC_1544307.jpg,0.7145696878433228
ISIC_1510820.jpg,ISIC_1544376.jpg,0.7584273219108582
ISIC_1510820.jpg,ISIC_1545466.jpg,0.8396351337432861
ISIC_1510820.jpg,ISIC_1545645.jpg,0.7103214263916016
ISIC_1510820.jpg,ISIC_1551763.jpg,0.6305050253868103
ISIC_1510820.jpg,ISIC_1552117.jpg,0.7204477787017822
ISIC_1510820.jpg,ISIC_1554000.jpg,0.26263195276260376
ISIC_1510820.jpg,ISIC_1558004.jpg,0.414737343788147
ISIC_1510820.jpg,ISIC_1560689.jpg,0.5047681927680969
ISIC_1510820.jpg,ISIC_1560978.jpg,0.5977525115013123
ISIC_1510820.jpg,ISIC_1561927.jpg,0.777765691280365
ISIC_1510820.jpg,ISIC_1564663.jpg,0.816008985042572
ISIC_1510820.jpg,ISIC_1565187.jpg,0.8029971122741699
ISIC_1510820.jpg,ISIC_1565504.jpg,0.30688562989234924
ISIC_1510820.jpg,ISIC_1566553.jpg,0.6699280738830566
ISIC_1510820.jpg,ISIC_1567171.jpg,0.7222689390182495
ISIC_1510820.jpg,ISIC_1567755.jpg,0.7176480889320374
ISIC_1510820.jpg,ISIC_1569193.jpg,0.499947190284729
ISIC_1510820.jpg,ISIC_1570233.jpg,0.5791909694671631
ISIC_1510820.jpg,ISIC_1571910.jpg,0.12492401897907257
ISIC_1510820.jpg,ISIC_1576440.jpg,0.5196856260299683
ISIC_1510820.jpg,ISIC_1577307.jpg,0.7822323441505432
ISIC_1510820.jpg,ISIC_1577729.jpg,0.8703469038009644
ISIC_1510820.jpg,ISIC_1578405.jpg,0.6031538844108582
ISIC_1510820.jpg,ISIC_1579773.jpg,0.7958226799964905
ISIC_1510820.jpg,ISIC_1581247.jpg,0.5371047854423523
ISIC_1510820.jpg,ISIC_1582062.jpg,0.12981118261814117
ISIC_1510820.jpg,ISIC_1582282.jpg,0.7870098948478699
ISIC_1510820.jpg,ISIC_1584462.jpg,0.7697830200195312
ISIC_1510820.jpg,ISIC_1586288.jpg,0.8145458698272705
ISIC_1510820.jpg,ISIC_1586360.jpg,0.7882994413375854
ISIC_1510820.jpg,ISIC_1589060.jpg,0.8553416132926941
ISIC_1510820.jpg,ISIC_1589872.jpg,0.43270403146743774
ISIC_1510820.jpg,ISIC_1589895.jpg,0.6402282118797302
ISIC_1510820.jpg,ISIC_1590307.jpg,0.8589274883270264
ISIC_1510820.jpg,ISIC_1591962.jpg,0.8187224268913269
ISIC_1510820.jpg,ISIC_1592464.jpg,0.7328168749809265
ISIC_1510820.jpg,ISIC_1593714.jpg,0.19027210772037506
ISIC_1510820.jpg,ISIC_1596422.jpg,0.5562915802001953
ISIC_1510820.jpg,ISIC_1599454.jpg,0.595803439617157
ISIC_1510820.jpg,ISIC_1600890.jpg,0.7235155701637268
ISIC_1510820.jpg,ISIC_1601014.jpg,0.5249692797660828
ISIC_1510820.jpg,ISIC_1603921.jpg,0.43525126576423645
ISIC_1510820.jpg,ISIC_1605133.jpg,0.8157498836517334
ISIC_1510820.jpg,ISIC_1605633.jpg,0.3516325354576111
ISIC_1510820.jpg,ISIC_1605845.jpg,0.7673344612121582
ISIC_1510820.jpg,ISIC_1607922.jpg,0.37716159224510193
ISIC_1510820.jpg,ISIC_1608729.jpg,0.7373963594436646
ISIC_1510820.jpg,ISIC_1608811.jpg,0.3561805188655853
ISIC_1510820.jpg,ISIC_1608962.jpg,0.8327543139457703
ISIC_1510820.jpg,ISIC_1611477.jpg,0.6887668371200562
ISIC_1510820.jpg,ISIC_1611666.jpg,0.8005143404006958
ISIC_1510820.jpg,ISIC_1612523.jpg,0.8192178606987
ISIC_1510820.jpg,ISIC_1613476.jpg,0.901441752910614
ISIC_1510820.jpg,ISIC_1613528.jpg,0.708377480506897
ISIC_1510820.jpg,ISIC_1613780.jpg,0.9068529009819031
ISIC_1510820.jpg,ISIC_1614037.jpg,0.6179376244544983
ISIC_1510820.jpg,ISIC_1615667.jpg,0.8378639817237854
ISIC_1510820.jpg,ISIC_1615785.jpg,0.2896685302257538
ISIC_1510820.jpg,ISIC_1619137.jpg,0.8498249650001526
ISIC_1510820.jpg,ISIC_1621521.jpg,0.7657452821731567
ISIC_1510820.jpg,ISIC_1621972.jpg,0.3720872104167938
ISIC_1510820.jpg,ISIC_1624232.jpg,0.8173139691352844
ISIC_1510820.jpg,ISIC_1624465.jpg,0.7410444021224976
ISIC_1510820.jpg,ISIC_1624776.jpg,0.8585322499275208
ISIC_1510820.jpg,ISIC_1626751.jpg,0.6371436715126038
ISIC_1510820.jpg,ISIC_1627413.jpg,0.7808825969696045
